Keyword Deutsch;Keyword Abkürzung;Keyword Englisch;Anmerkungen;;;;;;;;;
(Boden)Gefüge, Bodengefüge;;Soil structure;;;;;;;;;;
Aggregatstabilität;;aggregate stability;;;;;;;;;;
Bodenfeuchte;;soil moisture;;;;;;;;;;
Bodenfruchtbarkeit ;;soil fertility;;;;;;;;;;
Bodenrohdichte;;bulk density;;;;;;;;;;
Bodensickerwasser;;soil seepage water, soil leachate;;;;;;;;;;
Bodentemperatur ;;soil temperature;;;;;;;;;;
Bodentragfähigkeit ;;soil bearing capacity;;;;;;;;;;
Bodenwasser;;soil water;;;;;;;;;;
Feinbodenvorrat;;fine soil stock, amount of fine earth;;;;;;;;;;
Feindurchwurzelung;;fine root penetration;;;;;;;;;;
Feinlehm;;fine loam;Anm. Einar Eberhardt: ?? direkte Übersetzung aus dem Englischen? Begriff im Deutschen meines Wissens nicht gebräuchlich --> toniger Lehm, Tonlehm;;;;;;;;;
Feinsand;;fine sand;;;;;;;;;;
Feinschluff;;fine silt;;;;;;;;;;
Feinton;;fine clay;;;;;;;;;;
Feldkapazität;;field capacity;;;;;;;;;;
Festsubstanzdichte;;solid substance density;;;;;;;;;;
Groblehm;;coarse loam;Anm. Einar Eberhardt: ?? direkte Übersetzung aus dem Englischen? Begriff im Deutschen meines Wissens nicht gebräuchlich --> sandiger Lehm, Sandlehm;;;;;;;;;
Grobsand;;coarse sand;;;;;;;;;;
Grobschluff;;coarse silt;;;;;;;;;;
Grobton;;coarse clay;;;;;;;;;;
Humusbilanz ;;humus balance;;;;;;;;;;
Humusfraktionen;;humus fraction;;;;;;;;;;
Humusgehalt;;humus content;;;;;;;;;;
Humushaushalt ;;humus balance;"gestr, BB; RB: nicht streichen; übersetzen durch: organic matter content";;;;;;;;;
Humusvorräte ;;humus stock;;;;;;;;;;
Infiltrationsrate ;;infiltration rate ;;;;;;;;;;
Klimatische Wasserbilanz;;climatic water balance;;;;;;;;;;
Kornfeuchtigkeit ;;particle moisture;RB: was ist das?;;;;;;;;;
Korngröße;;particle size;;;;;;;;;;
Korngrößenverteilung;;particle size distribution;;;;;;;;;;
Körnungsart;;particle typesoil texture;;;;;;;;;;
Lagerungsdichte;;bulk density;;;;;;;;;;
Lehm;L;loam;;;;;;;;;;
Leitfähigkeit;;conductivity;;;;;;;;;;
Mittellehm;;middle loam;"Anm. Einar Eberhardt: ?? weder im Deutschen noch im Englischen ist mir dieser Begriff geläufig; im Deutschen ggf. ""mittlerer Lehm"", ein vager Begriff für gleichanteiölige Mischungen aus Sand, Schluff und Ton";;;;;;;;;
Mittelsand;;medium sand;;;;;;;;;;
Mittelschluff;;medium silt;;;;;;;;;;
Mittelton;;medium clay;;;;;;;;;;
pF-Wert;;pF value;;;;;;;;;;
POM-Fraktionierung;;;gestr da nur nähere Erläuterung zur Humusfraktionierung, BB+MA;;;;;;;;;
Redoxpotenzial, Redoxpotential;;redox potential;;;;;;;;;;
Sand;S;sand;;;;;;;;;;
Saugspannung;;soil moisture tension, suction power;;;;;;;;;;
Schluff;U;silt;;;;;;;;;;
Sickergeschwindigkeit ;;seepage rate;;;;;;;;;;
Sickerwasser ;;seepage water, leachate;;;;;;;;;;
Ton;T;clay;;;;;;;;;;
Trockenraumdichte;;dry bulk density;;;;;;;;;;
Trockenrohdichte;;dry bulk density;;;;;;;;;;
Trockensubstanz ;;dry substance;;;;;;;;;;
Verdichtung;;compaction;;;;;;;;;;
Wassergehalt;;water content;;;;;;;;;;
Wasserhaushalt ;;water balance;;;;;;;;;;
Wasserleitfähigkeit;;water conductivity;;;;;;;;;;
Wassertemperatur;;water temperature;;;;;;;;;;
spez. Leitfähigkeit (25°C);;specific conductiviy (25°C), EC;;hinzugenommen BB;;;;;;;;
